outcome,window,weighted,estimate,std_error,p_value,nobs
log_employment,full,False,-0.02858355003079069,6.266708345286174e-11,0.0,90
log_employment,full,True,0.0029231730638849636,0.00017743205955148824,5.5592687596255676e-61,90
log_employment,drop_2020,False,-0.031719169058882626,1.905065135314227e-11,0.0,80
log_employment,drop_2020,True,-0.002126137599017766,0.00013562220592013585,2.1757248823021224e-55,80
log_employment,balanced_2016_2022,False,-0.029929693345583087,7.055194203057335e-11,0.0,70
log_employment,balanced_2016_2022,True,0.0006688569210982105,0.00024092123617723985,0.005499037104893707,70
log_establishments,full,False,0.0021180950036414924,,,90
log_establishments,full,True,0.011661233945202003,3.8061124276527634e-05,0.0,90
log_establishments,drop_2020,False,0.0022466641323035316,1.905071811761017e-11,0.0,80
log_establishments,drop_2020,True,0.013730074776773123,8.052939299762366e-05,0.0,80
log_establishments,balanced_2016_2022,False,0.0008691311145588987,,,70
log_establishments,balanced_2016_2022,True,0.006660122319097009,5.0013189065543756e-05,0.0,70
log_emp_per_establishment,full,False,-0.03070164503443237,,,90
log_emp_per_establishment,full,True,-0.008738060881318782,0.00013937093527110667,0.0,90
log_emp_per_establishment,drop_2020,False,-0.033965833191185735,,,80
log_emp_per_establishment,drop_2020,True,-0.01585621237579102,5.509281292824183e-05,0.0,80
log_emp_per_establishment,balanced_2016_2022,False,-0.03079882446014065,,,70
log_emp_per_establishment,balanced_2016_2022,True,-0.005991265397997462,0.00019090804711446513,3.4530871298136916e-216,70
log_avg_annual_pay,full,False,0.031160514534938354,,,90
log_avg_annual_pay,full,True,0.028846572118115307,0.00012737931500522094,0.0,90
log_avg_annual_pay,drop_2020,False,0.03298028216978681,,,80
log_avg_annual_pay,drop_2020,True,0.0288066829114526,0.0001518602086274304,0.0,80
log_avg_annual_pay,balanced_2016_2022,False,0.030841249751858698,,,70
log_avg_annual_pay,balanced_2016_2022,True,0.030471622949625517,0.00015380851842924857,0.0,70
